URI,RELATION,AIDA-SENTENCE,VIA
http://dx.doi.org/10.1145/1963405.1963503,claims,"The adoption of hashtags on Twitter can be accurately characterized by their ""stickiness"", i.e. the probability of adoption based on one or more exposures, and their ""persistence"", i.e. the relative extent to which repeated exposures to a hashtag continue to have significant marginal effect.",
http://dx.doi.org/10.1186/2041-1480-2-S2-S3,claims,"Linked Data and Semantic Web technologies allow for automated evaluation of scientific hypotheses.",
http://dx.doi.org/10.1109/SP.2014.37,claims,"The protocol of the Bitcoin network can be modified such that its otherwise wasteful mining activity has the positive side effect of distributed storage of archival data.",
http://dx.doi.org/10.1109/SP.2014.37,claims,"Servers of a network can be incentivized to store data locally by applying a network protocol that forces them to repeatedly sign chunks of the data with a private key that cannot be shared without the risk of identity theft.",
http://dx.doi.org/10.1007/978-3-319-11964-9_7,claims,"The concept of ""scientific lenses"" consisting of reusable problem-specific criteria for entity equivalence allows for context-aware dynamic views over Linked Data.",
http://dx.doi.org/10.1087/2009202,claims,"Semantic publishing brings substantial benefits to scholarly communication.",
http://dx.doi.org/10.1371/journal.pcbi.1000361,claims,"Research publications can be enhanced in an accurate and valuable manner by the use of formal semantic representations and based on the simple application of existing Web technology.",
http://dx.doi.org/10.1038/35074206,claims,"Scientific papers with machine-readable semantic markup facilitate the development of automated methods for helping scientists to find and understand the content produced in other scientific disciplines.",
http://dx.doi.org/10.1038/35074206,claims,"Scientific papers with machine-readable semantic markup allow scientific concepts to be progressively linked into a universal web of knowledge.",
urn:isbn:0-14-027541-X,claims,"We are not heading away from a state in which one person could understand everything that is understood, but towards it.",
urn:isbn:0-14-027541-X,claims,"Scientific knowledge, like all human knowledge, consists primarily of explanations.",
http://dx.doi.org/10.1145/1374376.1374430,claims,"The ""price of total anarchy"", where players only apply regret minimization, matches the price of anarchy exactly (where players play according to a Nash equilibrium) for Hotelling games, even if the play itself is not approaching equilibrium.",
http://dx.doi.org/10.1145/1374376.1374430,claims,"The ""price of total anarchy"", where players only apply regret minimization, matches the price of anarchy exactly (where players play according to a Nash equilibrium) for valid games [Vetta 2002], even if the play itself is not approaching equilibrium.",
http://dx.doi.org/10.1145/1374376.1374430,claims,"The ""price of total anarchy"", where players only apply regret minimization, matches the price of anarchy exactly (where players play according to a Nash equilibrium) for linear congestion games with atomic players and unsplittable flow, even if the play itself is not approaching equilibrium.",
http://dx.doi.org/10.1145/1374376.1374430,claims,"The ""price of total anarchy"", where players only apply regret minimization, matches the price of anarchy exactly (where players play according to a Nash equilibrium) for parallel link congestion games with n = 2 and the makespan as the social cost function, even if the play itself is not approaching equilibrium.",
http://dx.doi.org/10.1145/1374376.1374430,claims,"The ""price of total anarchy"", where players only apply regret minimization, is exponentially greater than the price of anarchy (where players play according to a Nash equilibrium) for parallel link congestion games with n > 2 and the makespan as the social cost function.",
http://dx.doi.org/10.1002/asi.22748,discusses,"For clustering scientific publications, direct citation relations are more accurate as a measure of the relatedness of publications than co-citations and bibliographic coupling.",
http://dx.doi.org/10.1002/asi.22748,claims,"Publication-level approaches of scientific classification systems are more appropriate than journal-level approaches.",
http://dx.doi.org/10.1145/2736277.2741661,claims,"Users jump more between different online communities as they become older.",
http://dx.doi.org/10.1145/2736277.2741120,claims,"Project success is an important factor for donor retention for online crowdfunding.",
http://dx.doi.org/10.1145/2736277.2741120,claims,"The timeliness of the acknowledgment of the donors' support is an important factor for donor retention for online crowdfunding.",
http://dx.doi.org/10.1145/2736277.2741120,claims,"The timeliness of the feedback to the donors about the impact of the project is an important factor for donor retention for online crowdfunding.",
http://dx.doi.org/10.1145/2736277.2741099,claims,"When people search for information on the web, they mostly end up accessing information they agree with.",
http://dx.doi.org/10.1145/2736277.2741099,claims,"Web sites about polarizing topics show in general low diversity in stances that are presented.",
http://dx.doi.org/10.1145/2736277.2741099,claims,"If an external event threatens to influence certain web users directly, then these users afterwards tend to explore more content outside their filter bubble.",
http://dx.doi.org/10.1145/2736277.2741130,claims,"When users receive more email messages in a day, they reply to a smaller fraction of them.",
http://dx.doi.org/10.1145/2736277.2741130,claims,"When users receive more email messages in a day, they use shorter texts as replies.",
http://dx.doi.org/10.1145/2736277.2741130,claims,"When users receive more email messages in a day, the time to reply decreases for the emails that are eventually answered.",
http://dx.doi.org/10.1145/2736277.2741130,claims,"Email replies by teenagers are on average shorter than those by adults.",
http://dx.doi.org/10.1145/2736277.2741130,claims,"Teenagers reply on average faster to emails than adults.",
http://dx.doi.org/10.1145/2736277.2741094,claims,"Short summaries that are automatically generated - using features based on their characterizing and differentiating power, the information overlap between them, and their relevance to the context of entity mention - help human users carry out entity linking tasks more efficiently.",
http://dx.doi.org/10.1145/2736277.2741666,claims,"Human navigation traces on the Web provide valuable information to detect missing hyperlinks.",
http://dx.doi.org/10.1145/2736277.2741143,claims,"With provenance being prevalent within Linked Data and being highly selective, it can be used to improve query processing performance.",
http://dx.doi.org/10.1145/2736277.2741121,claims,"On a wide variety of existing datasets, ""emergent"" relational schemas automatically extracted from RDF data cover more than 90% of the triples.",
http://dx.doi.org/10.1145/2736277.2741103,claims,"Active learning techniques can make the manual construction of RDF data more efficient.",
http://dx.doi.org/10.1145/2736277.2741628,claims,"The Inverse Document Frequency (IDF) of a term is equal to the distance between the term and the empty string in the space of information distance in which the Kolmogorov complexity is approximated using Web documents and the Shannon-Fano coding.",
http://dx.doi.org/10.1145/2736277.2741673,claims,"Statistical language models for texts in social networks can be made more accurate by smoothing the language model via influence propagation.",
http://dx.doi.org/10.1145/2736277.2741688,claims,"Quoting patterns can be used to quantify and characterize the degree to which media outlets exhibit systematic bias.",
http://dx.doi.org/10.1111/j.1467-937X.2008.00531.x,claims,"The age of innovators at their first invention is increasing over time.",
http://dx.doi.org/10.1111/j.1467-937X.2008.00531.x,claims,"The degree of specialization of innovators is increasing over time.",
http://dx.doi.org/10.1111/j.1467-937X.2008.00531.x,claims,"Team sizes for groups of innovators are increasing over time.",
http://dx.doi.org/10.1111/j.1467-937X.2008.00531.x,claims,"Teamwork between innovators is more prevalent in fields with deeper knowledge.",
http://dx.doi.org/10.1111/j.1467-937X.2008.00531.x,claims,"The degree of specialization of innovators is greater in fields with deeper knowledge.",
http://dx.doi.org/10.1111/j.1467-937X.2008.00531.x,claims,"The age of innovators at their first invention is similar across fields of different knowledge depth.",
http://papers.nips.cc/paper/4824-imagenet,claims,"Deep learning is a powerful and accurate method for automatic image recognition.",http://dx.doi.org/10.1038/nature14539
http://dx.doi.org/10.1109/TPAMI.2012.231,claims,"Deep learning is a powerful and accurate method for automatic image recognition.",http://dx.doi.org/10.1038/nature14539
http://papers.nips.cc/paper/5573-stochastic-network-design-in-bidirected-trees,claims,"Deep learning is a powerful and accurate method for automatic image recognition.",http://dx.doi.org/10.1038/nature14539
http://arxiv.org/abs/1409.4842,claims,"Deep learning is a powerful and accurate method for automatic image recognition.",http://dx.doi.org/10.1038/nature14539
http://dx.doi.org/10.1109/ASRU.2011.6163930,claims,"Deep learning is a powerful and accurate method for automatic speech recognition.",http://dx.doi.org/10.1038/nature14539
http://dx.doi.org/10.1109/MSP.2012.2205597,claims,"Deep learning is a powerful and accurate method for automatic speech recognition.",http://dx.doi.org/10.1038/nature14539
http://dx.doi.org/10.1109/ICASSP.2013.6639347,claims,"Deep learning is a powerful and accurate method for automatic speech recognition.",http://dx.doi.org/10.1038/nature14539
http://dx.doi.org/10.1021/ci500747n,claims,"Deep learning is a powerful and accurate method to predict the activity of potential drug molecules.",http://dx.doi.org/10.1038/nature14539
http://dx.doi.org/10.1088/1742-6596/368/1/012030,claims,"Deep learning is a powerful and accurate method to analyze data from particle accelerator experiments.",http://dx.doi.org/10.1038/nature14539
http://www.nature.com/doifinder/10.1038/nature12346,claims,"Deep learning is a powerful and accurate method to reconstruct brain circuits.",http://dx.doi.org/10.1038/nature14539
http://dx.doi.org/10.1093/bioinformatics/btu277,claims,"Deep learning is a powerful and accurate method to predict the effects of mutations in non-coding DNA on gene expression.",http://dx.doi.org/10.1038/nature14539
http://dx.doi.org/10.1126/science.1254806,claims,"Deep learning is a powerful and accurate method to predict the effects of mutations in non-coding DNA on diseases.",http://dx.doi.org/10.1038/nature14539
http://dl.acm.org/citation.cfm?id=2078186,claims,"Deep learning is a powerful and accurate method for automatic natural language understanding.",http://dx.doi.org/10.1038/nature14539
http://anthology.aclweb.org/D/D14/D14-1067.pdf,claims,"Deep learning is a powerful and accurate method for automatic question answering.",http://dx.doi.org/10.1038/nature14539
http://arxiv.org/abs/1412.2007,claims,"Deep learning is a powerful and accurate method for machine translation.",http://dx.doi.org/10.1038/nature14539
http://papers.nips.cc/paper/5346-information-based-learning-by-agents-in-unbounded-state-spaces,claims,"Deep learning is a powerful and accurate method for machine translation.",http://dx.doi.org/10.1038/nature14539
http://dx.doi.org/10.1073/pnas.1304917110,claims,"Ant colonies outperform individuals for difficult sensory discrimination tasks.",
http://dx.doi.org/10.1073/pnas.1304917110,claims,"Individual ants outperform ant colonies for easy sensory discrimination tasks.",
http://papers.nips.cc/paper/293-handwritten-digit-recognition-with-a-back-propagation-network,claims,"Convolutional neural networks are much easier to train than networks with full connectivity between adjacent layers.",
http://papers.nips.cc/paper/293-handwritten-digit-recognition-with-a-back-propagation-network,claims,"Convolutional neural networks are much easier to generalize than networks with full connectivity between adjacent layers.",
http://citation.allacademic.com/meta/p646657_index.html,claims,"Partnership ties are crucial in the formation of adult friendship networks.",
http://dx.doi.org/10.1371/journal.pone.0066463,claims,"Selectively publishing only statistically significant results in science is more effective than publishing everything.",
http://dx.doi.org/10.1371/journal.pone.0084896,refutes,"Selectively publishing only statistically significant results in science is more effective than publishing everything.",
http://arxiv.org/abs/1502.05274,claims,"A geometric random walk with drift is a better model for technological progress than regression models.",
http://dx.doi.org/10.1371/journal.pcbi.1003117,claims,"Speculative statements in scientific publications can be accurately retrieved by a pattern matching approach.",
http://dx.doi.org/10.1038/nature11421,claims,"Strong ties are instrumental for spreading both online and real-world behavior in human social networks.",
http://dx.doi.org/10.1126/science.1185231,claims,"Individual adoption of health behavior is much more likely when participants receive social reinforcement from multiple neighbors as compared to single neighbors in the social network.",
http://dx.doi.org/10.1371/journal.pcbi.1002199,claims,"Information about vaccination flows more often between users who share the same sentiments about vaccination and less often between users who do not share the same sentiments than expected by chance alone.",
http://dx.doi.org/10.1371/journal.pcbi.1002199,claims,"If clusters of negative vaccine sentiments in a social network lead to clusters of unprotected individuals, the likelihood of disease outbreaks is greatly increased.",
http://dx.doi.org/10.1371/journal.pcbi.1002452,claims,"Vaccine-generated herd immunity in human societies can reduce disease incidence to such low levels that real or imagined vaccine risks appear large in comparison, causing individuals to cease vaccinating.",
