AIDA-URI,COMPONENT
http://purl.org/aida/Content-Centric+Networking+%28CCN%29%2C+centering+on+named+content+instead+of+hosts%2C+is+as+scalable+as+the+Internet+Protocol+%28IP%29.,http://dbpedia.org/resource/Internet_Protocol
http://purl.org/aida/Content-Centric+Networking+%28CCN%29%2C+centering+on+named+content+instead+of+hosts%2C+is+superior+to+the+Internet+Protocol+%28IP%29+in+terms+of+security.,http://dbpedia.org/resource/Internet_Protocol
http://purl.org/aida/Content-Centric+Networking+%28CCN%29%2C+centering+on+named+content+instead+of+hosts%2C+is+superior+to+the+Internet+Protocol+%28IP%29+in+terms+of+security.,http://dbpedia.org/resource/Named_data_networking
http://purl.org/aida/Content-Centric+Networking+%28CCN%29%2C+centering+on+named+content+instead+of+hosts%2C+is+superior+to+the+Internet+Protocol+%28IP%29+in+terms+of+delivery+efficiency.,http://dbpedia.org/resource/Internet_Protocol
http://purl.org/aida/Content-Centric+Networking+%28CCN%29%2C+centering+on+named+content+instead+of+hosts%2C+is+superior+to+the+Internet+Protocol+%28IP%29+in+terms+of+delivery+efficiency.,http://dbpedia.org/resource/Named_data_networking
http://purl.org/aida/Content-Centric+Networking+%28CCN%29%2C+centering+on+named+content+instead+of+hosts%2C+is+superior+to+the+Internet+Protocol+%28IP%29+in+terms+of+disruption+tolerance.,http://dbpedia.org/resource/Internet_Protocol
http://purl.org/aida/Content-Centric+Networking+%28CCN%29%2C+centering+on+named+content+instead+of+hosts%2C+is+superior+to+the+Internet+Protocol+%28IP%29+in+terms+of+disruption+tolerance.,http://dbpedia.org/resource/Named_data_networking
http://purl.org/aida/Many+complex+systems+owe+their+error-tolerance+to+their+structure+as+scale-free+networks.,http://dbpedia.org/resource/Scale-free_network
http://purl.org/aida/Many+complex+systems+owe+their+error-tolerance+to+their+structure+as+scale-free+networks.,http://dbpedia.org/resource/Complex_systems
http://purl.org/aida/Many+complex+systems+are+vulnerable+to+attacks+because+of+their+structure+as+scale-free+networks.,http://dbpedia.org/resource/Scale-free_network
http://purl.org/aida/Many+complex+systems+are+vulnerable+to+attacks+because+of+their+structure+as+scale-free+networks.,http://dbpedia.org/resource/Complex_systems
http://purl.org/aida/Vector+differences+accurately+capture+syntactic+and+semantic+relations+for+vector-space+word+representations+trained+by+recurrent+neural+networks+on+text+corpora.,http://dbpedia.org/resource/Text_corpus
http://purl.org/aida/Vector+differences+accurately+capture+syntactic+and+semantic+relations+for+vector-space+word+representations+trained+by+recurrent+neural+networks+on+text+corpora.,http://dbpedia.org/resource/Semantics
http://purl.org/aida/Vector+differences+accurately+capture+syntactic+and+semantic+relations+for+vector-space+word+representations+trained+by+recurrent+neural+networks+on+text+corpora.,http://dbpedia.org/resource/Recurrent_neural_network
http://purl.org/aida/The+world%27s+languages+exhibit+a+hierarchical+structure+dominated+by+English+as+its+a+central+hub+and+with+intermediate+hubs+that+include+German%2C+French%2C+and+Spanish.,http://dbpedia.org/resource/English_language
http://purl.org/aida/The+world%27s+languages+exhibit+a+hierarchical+structure+dominated+by+English+as+its+a+central+hub+and+with+intermediate+hubs+that+include+German%2C+French%2C+and+Spanish.,http://dbpedia.org/resource/German_language
http://purl.org/aida/The+world%27s+languages+exhibit+a+hierarchical+structure+dominated+by+English+as+its+a+central+hub+and+with+intermediate+hubs+that+include+German%2C+French%2C+and+Spanish.,http://dbpedia.org/resource/Spanish_language
http://purl.org/aida/The+world%27s+languages+exhibit+a+hierarchical+structure+dominated+by+English+as+its+a+central+hub+and+with+intermediate+hubs+that+include+German%2C+French%2C+and+Spanish.,http://dbpedia.org/resource/French_language
http://purl.org/aida/The+immensly+popular+languages+Chinese%2C+Arabic%2C+and+Hindi+have+only+a+limited+importance+in+the+global+language+network+of+translations+and+bilingual+speakers.,http://dbpedia.org/resource/Arabic_language
http://purl.org/aida/The+immensly+popular+languages+Chinese%2C+Arabic%2C+and+Hindi+have+only+a+limited+importance+in+the+global+language+network+of+translations+and+bilingual+speakers.,http://dbpedia.org/resource/Hindi
http://purl.org/aida/The+immensly+popular+languages+Chinese%2C+Arabic%2C+and+Hindi+have+only+a+limited+importance+in+the+global+language+network+of+translations+and+bilingual+speakers.,http://dbpedia.org/resource/Chinese_language
http://purl.org/aida/The+adoption+of+politically+controversial+hashtags+on+Twitter+is+especially+affected+by+multiple+repeated+exposures%2C+while+such+repeated+exposures+have+a+much+less+important+marginal+effect+on+the+adoption+of+conversational+idioms.,http://dbpedia.org/resource/Hashtag
http://purl.org/aida/The+adoption+of+politically+controversial+hashtags+on+Twitter+is+especially+affected+by+multiple+repeated+exposures%2C+while+such+repeated+exposures+have+a+much+less+important+marginal+effect+on+the+adoption+of+conversational+idioms.,http://dbpedia.org/resource/Twitter
http://purl.org/aida/The+adoption+of+hashtags+on+Twitter+can+be+accurately+characterized+by+their+%22%22stickiness%22%22%2C+i.e.+the+probability+of+adoption+based+on+one+or+more+exposures%2C+and+their+%22%22persistence%22%22%2C+i.e.+the+relative+extent+to+which+repeated+exposures+to+a+hashtag+continue+to+have+significant+marginal+effect.,http://dbpedia.org/resource/Probability
http://purl.org/aida/The+adoption+of+hashtags+on+Twitter+can+be+accurately+characterized+by+their+%22%22stickiness%22%22%2C+i.e.+the+probability+of+adoption+based+on+one+or+more+exposures%2C+and+their+%22%22persistence%22%22%2C+i.e.+the+relative+extent+to+which+repeated+exposures+to+a+hashtag+continue+to+have+significant+marginal+effect.,http://dbpedia.org/resource/Hashtag
http://purl.org/aida/The+adoption+of+hashtags+on+Twitter+can+be+accurately+characterized+by+their+%22%22stickiness%22%22%2C+i.e.+the+probability+of+adoption+based+on+one+or+more+exposures%2C+and+their+%22%22persistence%22%22%2C+i.e.+the+relative+extent+to+which+repeated+exposures+to+a+hashtag+continue+to+have+significant+marginal+effect.,http://dbpedia.org/resource/Hashtag
http://purl.org/aida/The+adoption+of+hashtags+on+Twitter+can+be+accurately+characterized+by+their+%22%22stickiness%22%22%2C+i.e.+the+probability+of+adoption+based+on+one+or+more+exposures%2C+and+their+%22%22persistence%22%22%2C+i.e.+the+relative+extent+to+which+repeated+exposures+to+a+hashtag+continue+to+have+significant+marginal+effect.,http://dbpedia.org/resource/Twitter
http://purl.org/aida/Linked+Data+and+Semantic+Web+technologies+allow+for+automated+evaluation+of+scientific+hypotheses.,http://dbpedia.org/resource/Semantic_Web
http://purl.org/aida/Linked+Data+and+Semantic+Web+technologies+allow+for+automated+evaluation+of+scientific+hypotheses.,http://dbpedia.org/resource/Linked_data
http://purl.org/aida/The+protocol+of+the+Bitcoin+network+can+be+modified+such+that+its+otherwise+wasteful+mining+activity+has+the+positive+side+effect+of+distributed+storage+of+archival+data.,http://dbpedia.org/resource/Bitcoin
http://purl.org/aida/Servers+of+a+network+can+be+incentivized+to+store+data+locally+by+applying+a+network+protocol+that+forces+them+to+repeatedly+sign+chunks+of+the+data+with+a+private+key+that+cannot+be+shared+without+the+risk+of+identity+theft.,http://dbpedia.org/resource/Communications_protocol
http://purl.org/aida/Servers+of+a+network+can+be+incentivized+to+store+data+locally+by+applying+a+network+protocol+that+forces+them+to+repeatedly+sign+chunks+of+the+data+with+a+private+key+that+cannot+be+shared+without+the+risk+of+identity+theft.,http://dbpedia.org/resource/Identity_theft
http://purl.org/aida/The+concept+of+%22%22scientific+lenses%22%22+consisting+of+reusable+problem-specific+criteria+for+entity+equivalence+allows+for+context-aware+dynamic+views+over+Linked+Data.,http://dbpedia.org/resource/Linked_data
http://purl.org/aida/Semantic+publishing+brings+substantial+benefits+to+scholarly+communication.,http://dbpedia.org/resource/Semantic_publishing
http://purl.org/aida/Research+publications+can+be+enhanced+in+an+accurate+and+valuable+manner+by+the+use+of+formal+semantic+representations+and+based+on+the+simple+application+of+existing+Web+technology.,http://dbpedia.org/resource/Semantic_Web
http://purl.org/aida/Scientific+papers+with+machine-readable+semantic+markup+facilitate+the+development+of+automated+methods+for+helping+scientists+to+find+and+understand+the+content+produced+in+other+scientific+disciplines.,http://dbpedia.org/resource/Separation_of_presentation_and_content
http://purl.org/aida/Scientific+papers+with+machine-readable+semantic+markup+allow+scientific+concepts+to+be+progressively+linked+into+a+universal+web+of+knowledge.,http://dbpedia.org/resource/Separation_of_presentation_and_content
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+Hotelling+games%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Nash_equilibrium
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+Hotelling+games%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Anarchy
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+Hotelling+games%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Anarchy
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+valid+games+%5BVetta+2002%5D%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Nash_equilibrium
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+valid+games+%5BVetta+2002%5D%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Anarchy
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+valid+games+%5BVetta+2002%5D%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Anarchy
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+linear+congestion+games+with+atomic+players+and+unsplittable+flow%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Nash_equilibrium
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+linear+congestion+games+with+atomic+players+and+unsplittable+flow%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Anarchy
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+linear+congestion+games+with+atomic+players+and+unsplittable+flow%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Anarchy
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+linear+congestion+games+with+atomic+players+and+unsplittable+flow%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Congestion_game
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+parallel+link+congestion+games+with+n+%3D+2+and+the+makespan+as+the+social+cost+function%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Cost_curve
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+parallel+link+congestion+games+with+n+%3D+2+and+the+makespan+as+the+social+cost+function%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Nash_equilibrium
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+parallel+link+congestion+games+with+n+%3D+2+and+the+makespan+as+the+social+cost+function%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Congestion_game
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+parallel+link+congestion+games+with+n+%3D+2+and+the+makespan+as+the+social+cost+function%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Anarchy
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+matches+the+price+of+anarchy+exactly+%28where+players+play+according+to+a+Nash+equilibrium%29+for+parallel+link+congestion+games+with+n+%3D+2+and+the+makespan+as+the+social+cost+function%2C+even+if+the+play+itself+is+not+approaching+equilibrium.,http://dbpedia.org/resource/Anarchy
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+is+exponentially+greater+than+the+price+of+anarchy+%28where+players+play+according+to+a+Nash+equilibrium%29+for+parallel+link+congestion+games+with+n+%3E+2+and+the+makespan+as+the+social+cost+function.,http://dbpedia.org/resource/Anarchy
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+is+exponentially+greater+than+the+price+of+anarchy+%28where+players+play+according+to+a+Nash+equilibrium%29+for+parallel+link+congestion+games+with+n+%3E+2+and+the+makespan+as+the+social+cost+function.,http://dbpedia.org/resource/Anarchy
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+is+exponentially+greater+than+the+price+of+anarchy+%28where+players+play+according+to+a+Nash+equilibrium%29+for+parallel+link+congestion+games+with+n+%3E+2+and+the+makespan+as+the+social+cost+function.,http://dbpedia.org/resource/Nash_equilibrium
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+is+exponentially+greater+than+the+price+of+anarchy+%28where+players+play+according+to+a+Nash+equilibrium%29+for+parallel+link+congestion+games+with+n+%3E+2+and+the+makespan+as+the+social+cost+function.,http://dbpedia.org/resource/Cost_curve
http://purl.org/aida/The+%22%22price+of+total+anarchy%22%22%2C+where+players+only+apply+regret+minimization%2C+is+exponentially+greater+than+the+price+of+anarchy+%28where+players+play+according+to+a+Nash+equilibrium%29+for+parallel+link+congestion+games+with+n+%3E+2+and+the+makespan+as+the+social+cost+function.,http://dbpedia.org/resource/Congestion_game
http://purl.org/aida/For+clustering+scientific+publications%2C+direct+citation+relations+are+more+accurate+as+a+measure+of+the+relatedness+of+publications+than+co-citations+and+bibliographic+coupling.,http://dbpedia.org/resource/Bibliographic_coupling
http://purl.org/aida/Publication-level+approaches+of+scientific+classification+systems+are+more+appropriate+than+journal-level+approaches.,http://dbpedia.org/resource/Biological_classification
http://purl.org/aida/Users+jump+more+between+different+online+communities+as+they+become+older.,http://dbpedia.org/resource/Online_community
http://purl.org/aida/Project+success+is+an+important+factor+for+donor+retention+for+online+crowdfunding.,http://dbpedia.org/resource/Crowd_funding
http://purl.org/aida/The+timeliness+of+the+acknowledgment+of+the+donors%27+support+is+an+important+factor+for+donor+retention+for+online+crowdfunding.,http://dbpedia.org/resource/Crowd_funding
http://purl.org/aida/The+timeliness+of+the+feedback+to+the+donors+about+the+impact+of+the+project+is+an+important+factor+for+donor+retention+for+online+crowdfunding.,http://dbpedia.org/resource/Crowd_funding
http://purl.org/aida/If+an+external+event+threatens+to+influence+certain+web+users+directly%2C+then+these+users+afterwards+tend+to+explore+more+content+outside+their+filter+bubble.,http://dbpedia.org/resource/Filter_bubble
http://purl.org/aida/Short+summaries+that+are+automatically+generated+-+using+features+based+on+their+characterizing+and+differentiating+power%2C+the+information+overlap+between+them%2C+and+their+relevance+to+the+context+of+entity+mention+-+help+human+users+carry+out+entity+linking+tasks+more+efficiently.,http://dbpedia.org/resource/Entity_linking
http://purl.org/aida/Human+navigation+traces+on+the+Web+provide+valuable+information+to+detect+missing+hyperlinks.,http://dbpedia.org/resource/Hyperlink
http://purl.org/aida/With+provenance+being+prevalent+within+Linked+Data+and+being+highly+selective%2C+it+can+be+used+to+improve+query+processing+performance.,http://dbpedia.org/resource/Linked_data
http://purl.org/aida/On+a+wide+variety+of+existing+datasets%2C+%22%22emergent%22%22+relational+schemas+automatically+extracted+from+RDF+data+cover+more+than+90%25+of+the+triples.,http://dbpedia.org/resource/Resource_Description_Framework
http://purl.org/aida/Active+learning+techniques+can+make+the+manual+construction+of+RDF+data+more+efficient.,http://dbpedia.org/resource/Active_learning
http://purl.org/aida/Active+learning+techniques+can+make+the+manual+construction+of+RDF+data+more+efficient.,http://dbpedia.org/resource/Resource_Description_Framework
http://purl.org/aida/The+Inverse+Document+Frequency+%28IDF%29+of+a+term+is+equal+to+the+distance+between+the+term+and+the+empty+string+in+the+space+of+information+distance+in+which+the+Kolmogorov+complexity+is+approximated+using+Web+documents+and+the+Shannon-Fano+coding.,http://dbpedia.org/resource/Kolmogorov_complexity
http://purl.org/aida/The+Inverse+Document+Frequency+%28IDF%29+of+a+term+is+equal+to+the+distance+between+the+term+and+the+empty+string+in+the+space+of+information+distance+in+which+the+Kolmogorov+complexity+is+approximated+using+Web+documents+and+the+Shannon-Fano+coding.,http://dbpedia.org/resource/Shannon–Fano_coding
http://purl.org/aida/The+Inverse+Document+Frequency+%28IDF%29+of+a+term+is+equal+to+the+distance+between+the+term+and+the+empty+string+in+the+space+of+information+distance+in+which+the+Kolmogorov+complexity+is+approximated+using+Web+documents+and+the+Shannon-Fano+coding.,http://dbpedia.org/resource/Israel_Defense_Forces
