PUBLICATION,RELATION,AIDA-SENTENCE
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of muscle cramp before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of myasthenia before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of nausea before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of pain before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of peripheral oedema before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of rash before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of respiratory tract infection before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of rhinitis before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of skin ulcer before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of syncope before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of tremor before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of urinary tract infection before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of vertigo before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of vomiting before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of weight loss before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,reviews,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine improves the patients' score in the Gottfries, Brane, and Steen scale (GBS)."
http://dx.doi.org/10.1002/14651858.CD005593,reviews,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine reduces the time needed by carers to assist in instrumental activities of daily living and physical self-maintenance."
